공원명,평균거리_500m,평균거리_1000m,평균거리_2000m,인구점수_500m,인구점수_1000m,인구점수_2000m,final_walk_min,도보점수,구,parking_score,총점_500m,총점_1000m,총점_2000m,rank_500m,rank_1000m,rank_2000m,총점_overall,overall_norm_0_100,rank_overall,zscore_cdf_100_overall,rank_overall_zcdf100
달맞이근린공원,317.91373072472163,439.4008381277341,1383.114663729373,41.341,60.096,35.492,11.75,72.848,성동구,0.0,51.977,55.727999999999994,50.807199999999995,34,24,37,52.98532,49.376624655803255,32,39.48,32
고척근린공원,,,1422.8274598372209,,,32.254,15.25,63.576,구로구,35.96,54.551300000000005,50.0171,51.7884,32,31,35,52.91475000000001,49.286586795757096,33,39.29,33
배봉산근린공원(배봉산),,,1562.572546246087,,,20.857,15.5,62.914,동대문구,28.8,52.7221,48.18789999999999,47.67979999999999,33,34,39,50.85761,46.66195191669514,34,33.83,34
일자산허브천문공원,,705.6501353812108,1141.2599959404017,,29.086,55.217,13.5,68.212,강동구,0.0,50.1409,46.7444,51.9706,36,37,34,49.30492000000001,44.68092761578676,35,29.93,35
용산가족공원,,808.816756015193,1318.390837019611,,17.07,40.771,16.25,60.927,용산,21.92,50.1539,44.3542,49.0944,35,39,38,48.30804000000001,43.40904236819094,36,27.54,36
우장산근린공원(우장산/우장산근린공원),,560.5048639350255,592.1453166873378,,45.991,100.0,18.5,54.967,강서구,24.0,46.9939,46.97839999999999,57.780199999999994,40,36,23,48.067879999999995,43.10263040179314,37,26.98,37
서서울호수공원,,720.5122233612365,923.9164955882823,,27.355,72.942,14.5,65.563,양천구,0.0,48.551500000000004,44.808800000000005,53.9262,38,38,31,47.96616000000001,42.97284931742448,38,26.75,38
낙산공원,398.92457228547073,703.0133331463201,1266.8661324844788,19.85,29.393,44.973,15.5,62.914,종로구,21.16,45.950399999999995,47.858999999999995,50.974999999999994,41,35,36,47.025439999999996,41.77261670154458,39,24.63,39
금천체육공원,,,1574.5874775124512,,,19.877,18.0,56.291,금천구,29.04,48.7963,44.2621,43.558,37,40,42,46.91221000000001,41.62815040009881,40,24.38,40
금천폭포근린공원,,,1344.8508015034547,,,38.613,14.75,64.901,금천구,0.0,48.1543,43.620099999999994,46.663199999999996,39,41,40,46.64493,41.287136949154444,41,23.8,41
아차산공원(아차산),,540.3625363359641,920.7440728238948,,48.337,73.201,21.0,48.344,광진구,0.0,38.2201,38.6738,43.6466,44,42,41,38.898860000000006,31.40418999481233,42,10.67,42
청계산도시자연공원(청계산),,,,,,,21.0,48.344,서초구,10.0,40.2201,35.6859,38.5108,43,43,43,38.68891000000001,31.13632193874466,43,10.42,43
인왕산도시자연공원(인왕산),,868.5285449971257,1746.4019117847556,,10.116,5.865,22.0,45.695,종로구,20.0,40.6307,33.4402,32.589999999999996,42,44,44,37.66948000000001,29.835665913990823,44,9.25,44
율현공원,,,1626.9819848440418,,,15.604,22.75,43.709,강남구,0.0,35.4391,30.9049,29.3462,45,45,45,33.46955000000001,24.477118237304442,45,5.57,45
수락산도시자연공원(수락산),,,,,,,35.0,11.258,노원구,32.8,22.5285,17.9943,20.8192,46,46,46,20.997310000000006,8.564211909085879,46,1.54,46
남산공원,,899.4573734335254,1618.5396741549364,,6.513,16.292,39.25,0.0,중구,40.2,17.253700000000002,9.342600000000001,11.2984,47,47,47,14.284840000000003,0.0,47,1.17,47
