구,구평균_500m,구최고_500m,rank_평균_500m,rank_최고_500m,반경,구평균_1000m,구최고_1000m,rank_평균_1000m,rank_최고_1000m,구평균_2000m,구최고_2000m,rank_평균_2000m,rank_최고_2000m,구평균_500m_norm100,구최고_500m_norm100,구평균_1000m_norm100,구최고_1000m_norm100,구평균_2000m_norm100,구최고_2000m_norm100
강동구,,,,,2000,,,,,54.3242,56.6778,15.0,20.0,,,,,39.74,22.73
양천구,,,,,2000,,,,,53.952799999999996,53.9794,16.0,23.0,,,,,38.24,15.32
구로구,,,,,2000,,,,,53.6983,55.608200000000004,17.0,22.0,,,,,37.23,19.55
용산구,,,,,2000,,,,,53.3084,57.5224,18.0,19.0,,,,,35.69,25.47
영등포구,,,,,2000,,,,,53.111000000000004,53.745000000000005,19.0,24.0,,,,,34.92,14.78
서초구,,,,,2000,,,,,50.1289,61.747,20.0,11.0,,,,,24.29,41.56
종로구,,,,,2000,,,,,48.074466666666666,60.6584,21.0,14.0,,,,,18.25,37.11
금천구,,,,,2000,,,,,45.1106,46.663199999999996,22.0,25.0,,,,,11.59,4.76
강남구,,,,,2000,,,,,42.8992,56.4522,23.0,21.0,,,,,8.11,22.03
노원구,,,,,2000,,,,,40.2956,59.772000000000006,24.0,18.0,,,,,5.37,33.61
중구,,,,,2000,,,,,36.219899999999996,61.14139999999999,25.0,13.0,,,,,3.15,39.06
