gu,quakeshelter_count_score,quakeshelter_total_area_score,quakeshelter_avg_area_score,quakeshelter_mean_score
강남구,100.0,100.0,46.69985016634075,82.23328338878025
강동구,35.294117647058826,49.15986423181576,60.06750156840947,48.17382781576135
강북구,32.352941176470594,6.3941102517219655,7.188371259822716,15.31180756267176
강서구,96.07843137254902,53.84366257883046,21.65330354320262,57.1917991648607
관악구,60.78431372549019,17.769936170592572,8.164235110280114,28.90616166878763
광진구,19.6078431372549,2.341899173507354,8.154343538774302,10.034695283178852
구로구,28.43137254901961,10.220738054618387,14.819227013933503,17.823779205857164
금천구,28.43137254901961,14.768360198807056,21.443780768447287,21.547837838757985
노원구,59.80392156862746,24.880718316719328,14.645020642712783,33.10988684268652
도봉구,36.274509803921575,2.0312950254884115,0.0,12.768601609803328
동대문구,31.372549019607842,48.16264130831159,64.86551476750388,48.13356836514111
동작구,25.49019607843137,25.011156758190335,40.00142056276506,30.167591133128923
마포구,46.07843137254902,19.98513282280008,16.29922094311205,27.454261712820383
서대문구,27.45098039215686,22.90297573054453,34.38635898135195,28.24677170135111
서초구,48.03921568627452,29.6198541843581,25.15134270365419,34.27013752476227
성동구,42.15686274509804,24.079216808325622,23.076353238576065,29.770810930666574
성북구,45.09803921568627,26.349457717799044,23.627512669991365,31.691669867825556
송파구,70.58823529411765,89.96924559913704,60.29463582802144,73.61737224042538
양천구,64.70588235294117,60.231448542481104,41.575839836404384,55.504390243942225
영등포구,51.9607843137255,53.359293515819644,45.669866712784014,50.329981514109726
용산구,27.45098039215686,4.42011633629912,6.8769384798674125,12.916011736107798
은평구,42.15686274509804,41.150076886002154,42.23636103625442,41.847766889118205
종로구,26.47058823529412,65.27851093617315,100.0,63.91636639048909
중구,0.0,0.0,27.169731061279425,9.056577020426475
중랑구,33.33333333333333,36.14279630437167,45.8919485896687,38.456026075791236
