자치구,emergwater_count_score,emergwater_total_supply_score,emergwater_avg_supply_score,emergwater_gen_ratio_score,emergwater_mean_score
강남구,54.95616992582603,38.617354426317554,6.460946984760363,70.52907442725954,42.64088644104088
강동구,47.94335805799056,37.787036201691954,7.920172298639659,14.412406115516166,27.015743168459583
강북구,21.105866486850978,3.3814292242761894,6.175379458219843,17.97243345802535,12.15877715684309
강서구,62.575859743762635,35.637094349797714,4.461486282395561,9.3196207620446,27.998515284500122
관악구,54.48415374241402,14.646977333528305,1.569684629163226,36.51142211689708,26.80305945550066
광진구,0.0,68.05096661497163,100.0,86.94219895869833,63.74829139341749
구로구,36.682400539447066,11.735123539501323,4.129718074489243,7.862012759079143,15.102313728129193
금천구,47.066756574511125,2.9592777387796403,0.0,13.404132605785247,15.857541729769004
노원구,54.821308159136876,41.45922708842867,7.078302832152535,14.108467921162458,29.366826500220135
도봉구,43.69521240728253,19.40850690764806,4.547176220479309,1.1300362863410252,17.19523295543773
동대문구,75.38772757923128,53.503041987598984,5.513187835714807,24.09656355465102,39.625130239299025
동작구,59.27174645987863,34.057074745166226,4.718193029333951,5.920086898948641,25.991775283331858
마포구,20.364126770060686,19.34073828784406,13.230009353909615,52.6137947906153,26.387167300607416
서대문구,33.041132838840184,100.00000000000003,32.055923212451596,3.254105070482309,42.08779028044353
서초구,86.31153068105192,71.06622091018167,6.524599701457027,4.902274603128051,42.20115647395467
성동구,23.128792987188127,0.0,4.068051978519434,11.201372796878301,9.599554440646466
성북구,41.73971679028995,32.07447603812595,8.244963623944418,12.66477702872917,23.680983370272372
송파구,89.00876601483479,61.99726213106171,4.895905702302653,3.88723581166081,39.94729241496499
양천구,38.907619689817935,17.884863572719993,5.281018748267113,14.947565613387898,19.255266906048234
영등포구,17.869184086311527,82.00872816199018,43.56721343538597,96.14713292104264,59.89806465118258
용산구,0.5394470667565745,11.516063967670107,36.30324935507037,85.16340636028585,33.38054168744573
은평구,100.0,52.22169481986575,2.44069204807266,0.0,38.6655967169846
종로구,11.665542818610922,7.805931629128139,14.113934072806078,100.0,33.396352130136286
중구,2.5623735670937275,1.8514562261601526,21.685579913338746,91.74088089243845,29.46007264975777
중랑구,34.86176668914362,26.443215258293385,8.910288429401955,17.16250364682604,21.84444350591625
