gu,civdef_count_score,civdef_total_area_score,civdef_avg_area_score,civdef_mean_score
강남구,20.17543859649122,11.560643555802294,13.813908127003884,15.183330093099132
강동구,6.140350877192979,41.376503095862155,88.32430904353672,45.280387672197286
강북구,29.824561403508767,9.538139357326397,5.222880383802583,14.861860381545917
강서구,99.99999999999999,84.15026887057823,44.12791980276889,76.09272955778236
관악구,21.929824561403507,10.223223979455042,10.506477405684237,14.21984198218093
광진구,0.0,0.0,5.792584073371572,1.9308613577905238
구로구,28.94736842105263,61.67084793166156,81.9643791269906,57.527531826568264
금천구,12.280701754385959,10.127788457551905,17.139117662073275,13.182535958003712
노원구,94.73684210526314,24.14066564936285,0.0,39.62583591820866
도봉구,42.105263157894726,33.79136173886343,30.436743658731473,35.44445618516321
동대문구,0.0,25.26193187167364,65.80207612422157,30.35466933196507
동작구,34.210526315789465,35.41148309128232,38.66247646907865,36.09482862538348
마포구,12.280701754385959,1.3860313456691031,0.7123091884160004,4.7930140961570205
서대문구,54.3859649122807,22.301357168380434,10.380197987514883,29.022506689392003
서초구,74.56140350877192,45.35596183371972,24.519378973180174,48.145581438557265
성동구,60.526315789473685,62.65133530805284,49.64699846423182,57.60821652058612
성북구,50.87719298245614,100.0,100.0,83.62573099415205
송파구,58.7719298245614,88.05121303071272,77.63978084694926,74.82097456740779
양천구,50.87719298245614,26.121466745153178,16.203757181791254,31.067472303133524
영등포구,42.98245614035088,44.8503638983789,43.48496232617739,43.77259412163573
용산구,10.526315789473678,22.469600711419098,42.5251840717793,25.173700190890695
은평구,48.24561403508771,49.43173726428078,44.688499016083675,47.45528343848406
종로구,49.12280701754385,14.652269308020987,3.8220425447974122,22.532372956787416
중구,20.17543859649122,17.27403640609539,23.27867138508862,20.24271546255841
중랑구,86.84210526315788,57.5944403791569,29.544251764236293,57.99359913551702
