gu,floodshelter_count_score,floodshelter_total_capacity_score,floodshelter_avg_capacity_score,floodshelter_mean_score
강남구,13.114754098360656,51.27770343348426,64.74631085151115,43.04625612778536
강동구,37.704918032786885,37.8627339553812,31.762775947404027,35.77680931185737
강북구,3.2786885245901587,11.148283257868783,20.23811522929412,11.555029003917687
강서구,100.0,19.688914960312367,6.231806186305967,41.97357371553944
관악구,22.95081967213114,4.552620483584168,5.410859638757701,10.971433264824336
광진구,37.704918032786885,17.033601583838976,13.903692599760657,22.880737405462174
구로구,31.147540983606554,4.693772799765358,4.208790926999788,13.350034903457233
금천구,27.868852459016388,0.0,0.13857057869666978,9.335807679237686
노원구,0.0,2.613150996315375,8.693232448496861,3.768794481604079
도봉구,4.918032786885242,40.0542611501164,60.64196810720232,35.204754014734654
동대문구,3.2786885245901587,5.449029348682884,11.812958349384669,6.846892074219237
동작구,11.475409836065573,8.709281223075653,13.178003373354638,11.120898144165288
마포구,34.42622950819672,0.4976994005609434,0.0,11.641309636252553
서대문구,13.114754098360656,1.3876922512877856,3.637540416459993,6.046662255369479
서초구,63.9344262295082,15.922714524023391,8.148872838951622,29.335337864161065
성동구,1.6393442622950758,1.5114296713167503,6.450984569796113,3.2005861678026464
성북구,13.114754098360656,57.221682462283,72.02691154360403,47.45444936808256
송파구,26.229508196721305,100.0,99.99999999999999,75.40983606557376
양천구,93.44262295081967,6.954043005627761,0.3557502458453241,33.584138734097586
영등포구,81.96721311475409,6.434345841506114,0.7222382762912041,29.70793241085047
용산구,14.754098360655739,0.1347363018093164,1.853908633783906,5.580914432082987
은평구,16.393442622950815,10.475518322303898,13.59989755427397,13.489619499842894
종로구,39.34426229508197,2.4023390955252877,1.1975975615735095,14.314732984060255
중구,4.918032786885242,0.34646477608109905,3.898938493223133,3.054478685396491
중랑구,40.98360655737705,18.42129383512676,14.249206997233639,24.551369129912484
