자치구,hospital_count_score,bed_count_score,medinst_mean_score
종로구,5.743243243243244,36.85067136850671,21.296957305874976
중구,10.322822822822824,1.641123016411232,5.981972919617028
용산구,0.0,0.0,0.0
성동구,5.893393393393394,13.034043130340434,9.463718261866914
광진구,9.90990990990991,22.867218228672183,16.388564069291046
동대문구,11.26126126126126,60.504543605045434,35.88290243315335
중랑구,9.121621621621621,34.748406347484064,21.935013984552842
성북구,8.858858858858861,37.58307337583073,23.220966117344794
강북구,5.743243243243244,20.493693204936932,13.118468224090087
도봉구,2.1396396396396415,24.11501424115014,13.127326940394891
노원구,16.403903903903906,37.23043537230435,26.817169638104126
은평구,14.451951951951953,36.51159636511596,25.48177415853396
서대문구,4.579579579579581,39.522582395225825,22.051080987402703
마포구,17.41741741741742,2.7532890275328916,10.085353222475154
양천구,13.325825825825827,26.82761426827614,20.076720047050983
강서구,23.61111111111111,60.09765360097653,41.85438235604382
구로구,10.735735735735737,53.09914553099146,31.917440633363597
금천구,1.5765765765765785,17.17075817170758,9.373667374142078
영등포구,18.993993993993996,62.87806862878068,40.93603131138734
동작구,10.548048048048049,21.38885121388851,15.96844963096828
관악구,14.902402402402403,19.06957819069578,16.98599029654909
서초구,43.95645645645646,43.143903431439036,43.55017994394775
강남구,100.0,100.0,100.0
송파구,35.24774774774775,78.77390478773904,57.0108262677434
강동구,21.509009009009013,74.79994574799946,48.15447737850424
