공원명,Score_Theoretical,Score_Z_Transformed,Z-Score
잠실한강공원,67.17397443161276,81.4611251390114,1.480256043103896
반포한강공원,66.10605511018666,80.27683667907553,1.4036873714313591
잠원한강공원,64.1907883564133,78.0119825946121,1.2663647963147637
여의도한강공원,49.28426283328268,54.92356483328907,0.19758288024764756
망원한강공원,45.6195719041886,48.37128806420721,-0.0651715347173485
양화한강공원,44.87627097288923,47.041823405481956,-0.11846541546346073
광나루한강공원,40.775071986242835,39.8308747841995,-0.4125169906825727
난지한강공원,39.43724045508698,37.55597476538371,-0.5084380787339127
뚝섬한강공원,36.43570252283718,32.65908051687562,-0.7236451340198814
이촌한강공원,31.18102138533518,24.966492695208107,-1.1004001441492741
강서한강공원,26.733902671758926,19.477859190991282,-1.4192537933312164
