자치구,Score_Theoretical,Score_Z_Transformed,Z-Score
광진구,65.72388318378391,91.25137887494661,2.344722001063343
동작구,60.71914434035246,85.75883299836755,1.7954022344805856
동대문구,60.26955126285909,85.14545223224755,1.7460549314319922
송파구,55.18381429494516,76.63553898395298,1.1878448166759732
강서구,51.82538168243298,69.40714859944822,0.8192235006585715
종로구,49.930861660826594,64.82329880750461,0.6112811227218973
중랑구,47.34772964332387,58.12134579296012,0.32775674286951334
도봉구,47.04790329356008,57.318254430131596,0.29484782481802146
관악구,46.01384312905273,54.52135184389783,0.18134945737668665
영등포구,45.27869434363742,52.51436684294053,0.1006595808733488
마포구,45.25479699394231,52.44895410818437,0.09803660953215779
은평구,44.61581190770677,50.69749608947344,0.027901653563086493
서대문구,42.44227158009172,44.752742519818426,-0.21066597259601905
성동구,41.921340361942775,43.343662718136365,-0.2678433447050191
강북구,41.413767628481544,41.98097363636243,-0.3235544905192777
강남구,40.54196381760879,39.66977611696943,-0.4192436125447195
성북구,39.98348575241945,38.21241187599533,-0.4805421238174994
용산구,39.507668997643854,36.987158928076234,-0.5327677357517844
구로구,38.281762993663826,33.909650498380174,-0.6673230883937192
양천구,37.08239440092371,31.024680983215536,-0.79896569673389
강동구,37.02790914260412,30.89685179795825,-0.8049459946712346
서초구,36.49648023597699,29.665543516360604,-0.8632755922938726
중구,35.797112550776525,28.089263897498462,-0.9400381378748598
노원구,31.127517956601526,18.960597202010675,-1.4525724963609012
금천구,28.20505158596826,14.51271872074241,-1.7733421898023907
