구이름,cctv_count,cctv_score
종로구,2339,0.0
중구,3118,12.955263595542995
용산구,3609,21.120904706469325
성동구,4638,38.23382670879761
광진구,4636,38.20056544154333
동대문,3846,25.062364876101782
중랑구,5392,50.77332446366208
성북구,4906,42.69083652087146
강북구,3584,20.705138865790794
도봉구,2808,7.799767171129226
노원구,4105,29.369698985531357
은평구,5683,55.612838849160156
서대문,4218,31.248960585398308
마포구,3809,24.447031431897564
양천구,4854,41.826043572260104
강서구,3874,25.528022617661733
구로구,5694,55.79577581905872
금천구,3458,18.609679028770998
영등포,5133,46.4659903542325
동작구,3664,22.03558955596209
관악구,6614,71.09595875602861
서초구,6036,61.483452519541004
강남구,8352,100.0
송파구,4665,38.68285381673043
강동구,4238,31.58157325794113
