자치구,big5crime_occurrence,big5crime_occurrence_score,big5crime_arrest_rate,big5crime_arrest_score
종로구,2981,21.891780256092524,116.9070781616907,100.0
중구,3348,29.471292854192477,73.62604540023895,13.743847051353896
용산구,3021,22.717885171416768,75.07447864945382,16.630475948792252
성동구,2023,2.106567534076831,69.74789915966386,6.014965508069736
광진구,3424,31.040892193308544,68.13668224299066,2.8039198390812032
동대문구,2957,21.396117306897978,77.81535339871492,22.09285280306898
중랑구,3324,28.975629904997938,74.42839951865223,15.342884207844122
성북구,2411,10.119785212722014,81.21111571961842,28.86037602146081
강북구,2497,11.895910780669148,85.78293952743292,37.97170975036235
도봉구,1921,0.0,73.19104633003644,12.876923506837073
노원구,3567,33.99421726559273,73.08662741799832,12.668823721022505
은평구,3493,32.465923172242874,76.6676209561981,19.805500150199123
서대문구,2385,9.582817017761258,68.80503144654088,4.13589431950254
마포구,3834,39.50846757538208,75.32603025560772,17.13180118135955
양천구,3019,22.676579925650557,70.71878105332891,7.949867052046528
강서구,4296,49.04997934737711,82.49534450651768,31.41975659988583
구로구,3737,37.50516315572077,70.43082686647043,7.375993953390008
금천구,2240,6.588186699710867,78.25892857142858,22.976867936272754
영등포구,4418,51.56959933911606,76.66364870982345,19.797583733492274
동작구,2642,14.890541098719538,66.72975018925057,0.0
관악구,4769,58.81866997108633,73.30677290836654,13.107558702066399
서초구,4522,53.7174721189591,67.42591773551526,1.3874145443676582
강남구,6763,100.0,73.81339642170634,14.117224887595597
송파구,5223,68.19496076001653,67.39421788244304,1.3242388944214838
강동구,3398,30.503923998347794,73.42554443790465,13.344262277839391
