날짜,공원명,반경(m),반경내_행정동수,반경내_생활인구합,인구가중_평균거리(m),공원_lat,공원_lng
20250812,양화한강공원,1000,0,0.0,,37.53847,126.9023
20250812,난지한강공원,1000,1,1865485.2565,586.1135523242018,37.56619,126.8765
20250812,이촌한강공원,1000,0,0.0,,37.51703,126.9717
20250812,광나루한강공원,1000,0,0.0,,37.54894,127.1201
20250812,강서한강공원,1000,0,0.0,,37.5882,126.8153
20250812,길동생태공원,1000,1,1887729.3807,786.3988422041957,37.5403935,127.1547791
20250812,일자산허브천문공원,1000,1,1887729.3807,705.6501353812108,37.53967,127.153917
20250812,북서울꿈의숲,1000,0,0.0,,37.6233355,127.0407344
20250812,방화근린공원,1000,0,0.0,,37.5819812,126.8132285
20250812,우장산근린공원,1000,17,13877654.5192,560.5196378384416,37.5541932,126.844932
20250812,서울식물원,1000,0,0.0,,37.569781,126.83483
20250812,서울대공원,1000,0,0.0,,37.4264494,127.0198465
20250812,관악산공원,1000,0,0.0,,37.445208,126.96413
20250812,어린이대공원,1000,3,2355665.09,731.2094138907613,37.5498987,127.0809212
20250812,아차산공원,1000,1,1057958.099,540.3625363359641,37.5517142,127.1010031
20250812,고척근린공원,1000,0,0.0,,37.5042944,126.8521495
20250812,푸른수목원,1000,0,0.0,,37.483029,126.82407
20250812,금천체육공원,1000,0,0.0,,37.468164,126.908681
20250812,금천폭포근린공원,1000,0,0.0,,37.4468663,126.9040127
20250812,수락산도시자연공원,1000,0,0.0,,37.699232,127.0813633
20250812,불암산도시자연공원,1000,0,0.0,,37.6636719,127.0952714
20250812,서울창포원,1000,0,0.0,,37.689585,127.047938
20250812,용두근린공원,1000,10,7440407.500899999,217.1087046654031,37.5732791,127.0390042
20250812,배봉산근린공원,1000,0,0.0,,37.5812324,127.0641623
20250812,국립서울현충원,1000,0,0.0,,37.4998621,126.9736849
20250812,보라매공원,1000,1,530459.165,762.4365184584522,37.492333,126.918289
20250812,독립공원,1000,4,2001586.942,763.6797087329115,37.5738289,126.956771
20250812,청계산도시자연공원,1000,0,0.0,,37.4224347,127.0424726
20250812,매헌시민의숲,1000,2,3555115.3323999997,652.6539084420295,37.471225,127.035042
20250812,서울숲,1000,2,1508539.9016,96.79343943680281,37.5430717,127.0417982
20250812,달맞이근린공원,1000,3,1661292.6941,438.51630611936383,37.543564,127.0212054
20250812,청량근린공원,1000,1,554790.502,920.2906079611795,37.6020055,127.0511145
20250812,서서울호수공원,1000,4,1542749.123,722.355076508854,37.5278392,126.8304789
20250812,파리근린공원,1000,3,3281785.8767999997,496.5743428469791,37.5349739,126.8763932
20250812,선유도공원,1000,1,675922.4923,813.0232324000166,37.54255966,126.9017287
20250812,여의도공원,1000,0,0.0,,37.5268088,126.9222841
20250812,진관근린공원(구파발폭포/이말산),1000,0,0.0,,37.6370244,126.9192155
20250812,사가정공원,1000,1,568599.9755000001,778.957429949226,37.5797622,127.095997
20250812,중랑캠핑숲,1000,2,2217667.7716,665.0023597506573,37.6049896,127.1093075
20250812,도산근린공원,2000,6,9634692.7986,1188.8802734257654,37.5246752,127.0350296
20250812,율현공원,2000,3,3955710.3467,1659.2966552458527,37.472332,127.115594
20250812,경의선숲길,2000,8,8981551.648500001,1322.9972087387323,37.5588868,126.9254274
20250812,문화비축기지,2000,7,5252053.4899,1147.0120551851455,37.57171848,126.8932455
20250812,올림픽공원,2000,22,17445253.1996,1148.0724907455553,37.520934,127.122959
20250812,송파나루근린공원(석촌호수),2000,13,11884733.3569,1215.1299277874737,37.5069328,127.0983002
20250812,인왕산도시자연공원,2000,15,7277887.813099999,1733.6051147954083,37.5849001,126.9578438
20250812,낙산근린공원,2000,22,13816254.9657,1254.204523428152,37.580477,127.007587
20250812,북한산국립공원,2000,2,1147385.5931,1627.5624729859892,37.624549,127.000938
20250812,서울로7017,2000,15,16563208.8167,1428.6456353484627,37.5567137,126.9695753
20250812,남산공원,2000,19,13529179.7341,1599.7693455536908,37.5501402,126.9903773
20250812,용산가족공원,2000,9,5586549.1854,1324.9584700884166,37.522226,126.983335
20250812,효창근린공원,2000,14,11361703.314199999,1445.2525969034525,37.545234,126.95993
20250812,뚝섬한강공원,2000,16,13880259.259300001,1597.6032915903977,37.52935069999999,127.0699562
20250812,잠원한강공원,2000,9,9553659.1573,1517.894525286861,37.5206865,127.0122724
20250812,여의도한강공원,2000,16,14765264.5661,1457.9346217789541,37.5267106,126.9347112
20250812,반포한강공원,2000,9,7210181.841100001,1287.735028330873,37.5106226,126.9959627
20250812,망원한강공원,2000,6,5963074.432200002,1604.4963843220432,37.5527919,126.8985613
20250812,잠실한강공원,2000,6,6660098.7215,1122.243443693328,37.5175896,127.0867236
20250812,양화한강공원,2000,14,8507694.773599999,1417.5925959578544,37.53847,126.9023
20250812,난지한강공원,2000,2,2740232.8696999997,833.0779511826531,37.56619,126.8765
20250812,이촌한강공원,2000,3,3569095.7082,1449.955522241519,37.51703,126.9717
20250812,광나루한강공원,2000,2,1490666.0522999999,1323.2949514404154,37.54894,127.1201
20250812,강서한강공원,2000,0,0.0,,37.5882,126.8153
20250812,길동생태공원,2000,2,3191912.434,1150.1384304245512,37.5403935,127.1547791
20250812,일자산허브천문공원,2000,2,3191912.434,1147.496150400556,37.53967,127.153917
20250812,북서울꿈의숲,2000,5,3465170.4854,1439.8884323446957,37.6233355,127.0407344
20250812,방화근린공원,2000,0,0.0,,37.5819812,126.8132285
20250812,우장산근린공원,2000,18,14612804.916199999,590.0768469571013,37.5541932,126.844932
20250812,서울식물원,2000,0,0.0,,37.569781,126.83483
20250812,서울대공원,2000,0,0.0,,37.4264494,127.0198465
20250812,관악산공원,2000,0,0.0,,37.445208,126.96413
20250812,어린이대공원,2000,15,9750433.259399999,1178.2750786055697,37.5498987,127.0809212
20250812,아차산공원,2000,2,1542871.4407,906.224079818401,37.5517142,127.1010031
20250812,고척근린공원,2000,5,2901296.5368000004,1429.260996336267,37.5042944,126.8521495
20250812,푸른수목원,2000,1,520333.7146,1370.1055462696686,37.483029,126.82407
20250812,금천체육공원,2000,13,6844058.2565,1577.129801495276,37.468164,126.908681
20250812,금천폭포근린공원,2000,9,4434313.7075,1344.8508015034547,37.4468663,126.9040127
20250812,수락산도시자연공원,2000,0,0.0,,37.699232,127.0813633
