날짜,공원명,반경(m),반경내_행정동수,반경내_생활인구합,인구가중_평균거리(m),공원_lat,공원_lng
20241103,도산근린공원,500,0,0.0,,37.5246752,127.0350296
20241103,율현공원,500,0,0.0,,37.472332,127.115594
20241103,경의선숲길,500,0,0.0,,37.5588868,126.9254274
20241103,문화비축기지,500,0,0.0,,37.57171848,126.8932455
20241103,올림픽공원,500,0,0.0,,37.520934,127.122959
20241103,송파나루근린공원(석촌호수),500,0,0.0,,37.5069328,127.0983002
20241103,인왕산도시자연공원,500,0,0.0,,37.5849001,126.9578438
20241103,낙산근린공원,500,1,390449.3991,398.92457228547073,37.580477,127.007587
20241103,북한산국립공원,500,0,0.0,,37.624549,127.000938
20241103,서울로7017,500,1,112751.56599999999,371.94952292017155,37.5567137,126.9695753
20241103,남산공원,500,0,0.0,,37.5501402,126.9903773
20241103,용산가족공원,500,0,0.0,,37.522226,126.983335
20241103,효창근린공원,500,1,152012.2235,282.2727471133937,37.545234,126.95993
20241103,뚝섬한강공원,500,0,0.0,,37.52935069999999,127.0699562
20241103,잠원한강공원,500,0,0.0,,37.5206865,127.0122724
20241103,여의도한강공원,500,0,0.0,,37.5267106,126.9347112
20241103,반포한강공원,500,0,0.0,,37.5106226,126.9959627
20241103,망원한강공원,500,0,0.0,,37.5527919,126.8985613
20241103,잠실한강공원,500,0,0.0,,37.5175896,127.0867236
20241103,양화한강공원,500,0,0.0,,37.53847,126.9023
20241103,난지한강공원,500,0,0.0,,37.56619,126.8765
20241103,이촌한강공원,500,0,0.0,,37.51703,126.9717
20241103,광나루한강공원,500,0,0.0,,37.54894,127.1201
20241103,강서한강공원,500,0,0.0,,37.5882,126.8153
20241103,길동생태공원,500,0,0.0,,37.5403935,127.1547791
20241103,일자산허브천문공원,500,0,0.0,,37.53967,127.153917
20241103,북서울꿈의숲,500,0,0.0,,37.6233355,127.0407344
20241103,방화근린공원,500,0,0.0,,37.5819812,126.8132285
20241103,우장산근린공원,500,0,0.0,,37.5541932,126.844932
20241103,서울식물원,500,0,0.0,,37.569781,126.83483
20241103,서울대공원,500,0,0.0,,37.4264494,127.0198465
20241103,관악산공원,500,0,0.0,,37.445208,126.96413
20241103,어린이대공원,500,1,299684.5107,103.38936168251801,37.5498987,127.0809212
20241103,아차산공원,500,0,0.0,,37.5517142,127.1010031
20241103,고척근린공원,500,0,0.0,,37.5042944,126.8521495
20241103,푸른수목원,500,0,0.0,,37.483029,126.82407
20241103,금천체육공원,500,0,0.0,,37.468164,126.908681
20241103,금천폭포근린공원,500,0,0.0,,37.4468663,126.9040127
20241103,수락산도시자연공원,500,0,0.0,,37.699232,127.0813633
20241103,불암산도시자연공원,500,0,0.0,,37.6636719,127.0952714
20241103,서울창포원,500,0,0.0,,37.689585,127.047938
20241103,용두근린공원,500,9,3539147.6385999997,175.87601570072135,37.5732791,127.0390042
20241103,배봉산근린공원,500,0,0.0,,37.5812324,127.0641623
20241103,국립서울현충원,500,0,0.0,,37.4998621,126.9736849
20241103,보라매공원,500,0,0.0,,37.492333,126.918289
20241103,독립공원,500,1,96081.2969,397.5196012230661,37.5738289,126.956771
20241103,청계산도시자연공원,500,0,0.0,,37.4224347,127.0424726
20241103,매헌시민의숲,500,0,0.0,,37.471225,127.035042
20241103,서울숲,500,2,609618.9633,96.79343943680283,37.5430717,127.0417982
20241103,달맞이근린공원,500,2,596653.9326000001,318.1310760018386,37.543564,127.0212054
20241103,청량근린공원,500,0,0.0,,37.6020055,127.0511145
20241103,서서울호수공원,500,0,0.0,,37.5278392,126.8304789
20241103,파리근린공원,500,1,655527.1646,190.1512441831054,37.5349739,126.8763932
20241103,선유도공원,500,0,0.0,,37.54255966,126.9017287
20241103,여의도공원,500,0,0.0,,37.5268088,126.9222841
20241103,진관근린공원(구파발폭포/이말산),500,0,0.0,,37.6370244,126.9192155
20241103,사가정공원,500,0,0.0,,37.5797622,127.095997
20241103,중랑캠핑숲,500,1,685341.0647,473.7497196906097,37.6049896,127.1093075
20241103,도산근린공원,1000,3,1709280.688,831.2190907722439,37.5246752,127.0350296
20241103,율현공원,1000,0,0.0,,37.472332,127.115594
20241103,경의선숲길,1000,2,1573800.8017,767.4095510814567,37.5588868,126.9254274
20241103,문화비축기지,1000,4,1558791.0118999998,955.3804738347426,37.57171848,126.8932455
20241103,올림픽공원,1000,1,358608.4071,943.1062092822251,37.520934,127.122959
20241103,송파나루근린공원(석촌호수),1000,4,2215325.3966,798.1211740538149,37.5069328,127.0983002
