자치구,교통사고위험도_raw,교통사고위험도_score
종로구,23.64,50.84033613445382
중구,24.14,54.341736694677905
용산구,21.019999999999996,32.49299719887955
성동구,17.900000000000006,10.644257703081308
광진구,16.379999999999995,0.0
동대문구,25.980000000000004,67.22689075630257
중랑구,23.0,46.358543417366974
성북구,19.409999999999997,21.218487394957975
강북구,23.840000000000003,52.240896358543466
도봉구,18.019999999999996,11.484593837535016
노원구,21.629999999999995,36.76470588235293
은평구,18.97,18.1372549019608
서대문구,17.92,10.784313725490236
마포구,20.810000000000002,31.022408963585463
양천구,18.409999999999997,14.215686274509807
강서구,20.120000000000005,26.19047619047626
구로구,21.14,33.33333333333337
금천구,21.540000000000006,36.13445378151266
영등포구,24.370000000000005,55.95238095238102
동작구,22.060000000000002,39.77591036414569
관악구,19.97,25.14005602240897
서초구,23.11,47.12885154061627
강남구,30.659999999999997,100.0
송파구,29.260000000000005,90.1960784313726
강동구,19.060000000000002,18.767507002801153
