시군구명,station_mean_congest,subway_congest_score
강남구,27.953608580746735,56.38856476705881
강동구,31.980339234209204,71.76901667714414
강서구,13.190611785874944,0.0
관악구,35.64169853051432,85.75390055159511
광진구,39.37144624381467,100.0
구로구,26.675773166891588,51.50776000925772
금천구,33.83262483130904,78.84398443676841
노원구,19.527261708402058,24.203391731868322
도봉구,16.309274254011097,11.91200560526967
동대문구,25.906752136752136,48.570416543850214
동작구,32.465341505473084,73.6215255115858
마포구,32.449788920031835,73.56212104353405
서대문구,33.630384615384614,78.0715101436005
서초구,38.82001594896332,97.8937634866557
성동구,32.687134502923975,74.46868337359821
성북구,26.192403283850652,49.661486225213594
송파구,27.040641951787464,52.90140842593462
양천구,21.08636227320438,30.158513472953615
영등포구,32.72249634502924,74.60375103984116
용산구,28.684875449842554,59.181702893617086
은평구,21.65719086555,32.338843489793504
종로구,31.990806775320944,71.80899837111404
중구,33.75120946305157,78.53301127665671
중랑구,31.99876293297346,71.83938761506766
