Topic,Count,Name,Representation,Representative_Docs
-1,46,-1_시설_체험_공기_쉼터,"['시설', '체험', '공기', '쉼터', '동네', '도심', '부담', '동산', '마을', '베드']","['좋은시설 과 아름다운자연이 잘 조화되어서 참좋은곳이구나 라고 생각이 됌 다들 가보세요', '진짜 이만한 등산로 운동시설은 없다 해발고도는 낮아도 길이 원형태라서 계속 한방향으로만 운동가능,배드민턴시설있음,축구장 농구장 없는게 없다 옆동네 이사갔어도 주말엔 여기 와서 운동함 ㅋㅋ', '산책 코스와 곳곳의 운동시설 그리고 쉼터와 위생시설 등 시설이 잘 돼 있어서 좋아요 더군다나 관리도 아주 잘 하는 편이라 정말 살기 좋은 동네인 것 같아요']"
0,38,0_장소_가볍_코스_공기,"['장소', '가볍', '코스', '공기', '기분', '센터', '주변', '저녁', '편하', '아침']","['산책하기 딱 좋은 장소입니다', '산책하고 운동하기 좋은 장소예요 ^^', '매일 산책하는 장소입니다']"
1,30,1_정상_반려_코스_화장실,"['정상', '반려', '코스', '화장실', '둘레길', '환경', '이용', '나무', '곳곳', '축구장']","['트랙이 축구장이 보이는 아웃코스 말고 산 정상쪽에 인코스와 산림욕코스가 있습니다', '우장산 몇번가봤지만 여기는 운동하기좋은곳입니딘 운동기구도중간중간에 놓여있고 걷다보면쉴수있는 의자도 있고 맨발걷기코스도있고 푹신한길도 걷고쭉 걷기 좋은길이라 운동하기 도심에 있는곳이라 너무 좋음 화장실 화장실도 갈끔하니좋음 반려견 동반 환경 반려견 산책하기도좋음 피크닉 구역 김밥이나 과일 차 싸들고 운동하로가기 너무좋은곳', '맨발걷기 장소도 있고 운동기구가 많이있어 주민들의 많은 호응이있습니다 놀이터 현재공사중이나 축구장과 배드민트 장과 테니스 장은 사용가능합니다 화장실 깨끗한 화장실이 있어요 반려견 동반 환경 반려견도 같이 운동하고 있어도되요 피크닉 구역 피크닉 구역은 따로 마련되어있어요']"
2,29,2_수영장_놀이터_강서구_동네,"['수영장', '놀이터', '강서구', '동네', '도심', '화장실', '조명', '사계절', '근린공원', '단풍']","['강서구 중앙에 위치해 접근하기 좋고 운동하기 좋은듯', '좋아요, 요즘 수영장 뗌에 자주 가요~ 주차 자리가 항상 없지만 수영장이 좋아서 가게되요', '강서구 화곡동 일대 주민들이 즐겨 찾는 동네산으로 오래된 숲이 좋습니다 화장실 화장실을 뭘 설명하라는건지']"
