Topic,Count,Name,Representation,Representative_Docs
0,2817,0_놀이_대기_주차_가족,"['놀이', '대기', '주차', '가족', '시설', '주말', '방문일', '장소', '예약', '기구']","['아이와 가족끼리 가볍게 다녀올 수 있는 곳 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요', '주차는 어렵지만 동물원이 무료라서 아이들과 걷기 좋은 장소입니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요', '동물원과 놀이공원이 있어서 아이가 좋아하고 벚꽃이 만개해서 저도 만족하고 다녀왔습니다 방문일 주말 대기 시간 대기 시간 없음 예약 권장 아니요']"
1,59,1_한창_벌써_아름다우_어우러지,"['한창', '벌써', '아름다우', '어우러지', '흐드러지', '피어나', '풍진', '친우', '천지', '좀더']","['지금 한창 벚꽃이 만개 하였습니다', '벌써 벚꽃이 예쁘게 피어나고 있어요', '그 무엇보다 벌써 봄이왔슴을 알려주는 아름다운 매화꽃들이 피어있어서 보기 좋았습니다 3월6일 아차산역에 내려 후문으로 입장해서 곳곳을 쭉 둘러보았는데요']"
