Park_nm,eco_score,z,cdf,eco_score_std,순위
광진_어린이대공원,2757.9139945507045,5.775452646556477,0.9999999961626759,99.99999961626759,1
동작_보라매공원,853.0218021273613,1.3576532842277746,0.9127131366306355,91.27131366306355,2
강서_서울식물원,747.1764602661133,1.1121782459867837,0.8669692403455307,86.69692403455306,3
종로_낙산공원,680.1635820269585,0.9567629149091104,0.8306565327851516,83.06565327851516,4
영등포_여의도공원,649.6214482784271,0.8859300249770206,0.8121723822516909,81.21723822516908,5
광진_아차산생태공원,556.6577516794205,0.6703299184784278,0.7486762505531186,74.86762505531186,6
송파_석촌호수공원,509.5967152118683,0.5611866201207459,0.7126648384203914,71.26648384203914,7
중구_남산공원,476.4773309826851,0.4843766068767587,0.6859406913496721,68.5940691349672,8
etc_북한산국립공원,433.39764380455017,0.38446679817374296,0.6496837501644106,64.96837501644106,9
도봉_서울창포원,411.22635275125504,0.3330474496841864,0.6304507669847285,63.04507669847285,10
동대문_배봉산근린공원,396.6625537872315,0.29927129057541535,0.6176334709372554,61.76334709372554,11
양천_서서울호수공원,384.7826171517372,0.2717195074868277,0.6070811496818317,60.70811496818317,12
중구_서울로7017,383.65541380643845,0.2691053132348472,0.6060756790808179,60.60756790808179,13
송파_올림픽공원,349.4803164601326,0.18984690487738473,0.5752854502794184,57.52854502794184,14
강북_북서울꿈의숲,333.0577348470688,0.15175988301517293,0.5603118378610584,56.03118378610584,15
관악_서울대공원,293.62310111522675,0.06030363134532498,0.5240430950917956,52.404309509179555,16
성동_서울숲공원,278.7154289484024,0.02572996630834561,0.5102636389463998,51.02636389463998,17
강동_허브천문공원,275.2276072502136,0.017641058948936247,0.5070373992692851,50.70373992692851,18
영등포_선유도공원,254.04711610078812,-0.031480440244518106,0.4874431954185323,48.74431954185323,19
마포_경의선숲길공원,211.68538582324982,-0.12972517333314948,0.4483919327088559,44.83919327088559,20
양천_파리공원,205.9188291430473,-0.14309889103011894,0.443106040379546,44.3106040379546,21
종로_인왕산,126.54712462425232,-0.32717663936924735,0.3717671442638609,37.17671442638609,22
강서_방화근린공원,123.57663118839264,-0.3340657662494661,0.3691649660474752,36.916496604747515,23
중랑_사가정공원,110.98833137750624,-0.363260375318963,0.3582051951945754,35.82051951945754,24
구로_푸른수목원,107.39292454719543,-0.37159879261388223,0.35509579408976766,35.50957940897676,25
강서_우장산공원,94.03616136312485,-0.4025756112034398,0.34363022717467634,34.363022717467636,26
용산_효창공원,89.92630070447922,-0.4121071426303844,0.3401304468192245,34.01304468192245,27
구로_고척근린공원,73.79895347356796,-0.4495094610377766,0.3265320923237188,32.653209232371886,28
중랑_중랑캠핑숲중랑가족캠핑장,64.17460894584656,-0.4718301064194498,0.3185240298717685,31.85240298717685,29
용산_용산가족공원,63.315940618515015,-0.4738215180090533,0.3178135943293994,31.781359432939936,30
노원_수락산,55.92809808254242,-0.4909552992142162,0.311729031884474,31.1729031884474,31
금천_금천체육공원,52.283828437328346,-0.49940703846687134,0.3087463308595686,30.87463308595686,32
서초_청계산매봉,47.757563292980194,-0.5099042893601061,0.3050592583755898,30.505925837558976,33
마포_문화비축기지,34.79894161224365,-0.5399577437369583,0.29461308710210543,29.46130871021054,34
강남_도산공원,32.64104479551315,-0.5449623078896388,0.2928897206507285,29.288972065072848,35
서대문_서대문독립공원,25.00459575653076,-0.5626726538236804,0.286828904374461,28.6828904374461,36
성동_달맞이공원,21.925428450107574,-0.5698138156263933,0.2844019920442571,28.44019920442571,37
강남_율현공원,9.781978726387024,-0.5979767345880563,0.27492772849551683,27.492772849551685,38
성북_천장산,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,39
서초_매헌시민의숲,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,40
동작_국립서울현충원,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,41
은평_구파발폭포,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,42
강동_길동생태공원,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,43
동대문_용두근린공원,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,44
노원_불암산,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,45
금천_금천폭포공원,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,46
관악_관악산 호수공원,0.2445494681596756,-0.6200958072908794,0.2675973561822238,26.75973561822238,47
