Park_nm,eco_score,z,cdf,eco_score_std,순위
한강_반포한강공원,794.3547251224518,1.746093916313545,0.9596026831126021,95.96026831126021,1
한강_잠실한강공원,723.8599451780319,1.496019357157449,0.9326756945355581,93.26756945355581,2
한강_망원한강공원,544.7107672691345,0.860502064613708,0.805243827041311,80.5243827041311,3
한강_잠원한강공원,444.87931150197977,0.5063580086911859,0.6936973264072139,69.3697326407214,4
한강_양화한강공원,140.55888789892197,-0.5731942054547796,0.2832566036758991,28.32566036758991,5
한강_광나루한강공원,136.22688734531403,-0.5885616288237381,0.27807769023934725,27.807769023934725,6
한강_난지한강공원,119.71627640724182,-0.6471316925219517,0.25877335768033705,25.877335768033703,7
한강_여의도한강공원,58.36928725242615,-0.8647551999722888,0.19358658251699717,19.35865825169972,8
한강_뚝섬한강공원,38.11681956052781,-0.9365991993984543,0.1744823819885974,17.448238198859737,9
한강_이촌한강공원,20.602054059505466,-0.9987314206046751,0.15896240770778075,15.896240770778075,10
