R_SEQ_NO,CD_AREA,NO_EQUP_SE,SD_NM,SGG_NM,CD_EQUP,GB_ACMD,EQUP_NM,RDNMADR_CD,BDONG_CD,HDONG_CD,LOC_SFPR_A,SECT_EQUP,QTY_CPTY,XCORD,YCORD,XX,YY,CD_GUBUN
3882,1162000000,369,서울특별시,관악구,1,학교,신성초등학교,1162010200101170004018623,1162010200,1162066500,서울특별시 관악구 신림로 114(신림동),758,291,126.93663,37.47159,194394.6,541352.552,안전
3881,1162000000,390,서울특별시,관악구,1,학교,미성중학교,1162010200107450024003768,1162010200,1162076500,서울특별시 관악구 문성로16길 40(신림동),587,225,126.91243,37.47522,192253.6707,541757.0848,안전
3884,1162000000,422,서울특별시,관악구,1,학교,신림초등학교,1162010200116270075020518,1162010200,1162065500,서울특별시 관악구 문성로28길 31(신림동),630,191,126.92755,37.47721,193532.07,541967.24,안전
3883,1162000000,383,서울특별시,관악구,1,학교,신관중학교,1162010200201680010021677,1162010200,1162064500,서울특별시 관악구 신림로48길 17-16 (신림동),935,359,126.93395,37.48028,194158.2347,542317.1241,안전
3887,1162000000,418,서울특별시,관악구,13,"연수,숙박",실크로드모텔,1162010200116390061021313,1162010200,1162064500,서울특별시 관악구 관천로 32(신림동),536,38,126.92787,37.48298,193620.6203,542617.508,안전
3888,1162000000,401,서울특별시,관악구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",선우체육관,1162010200201170008000001,1162010200,1162076500,서울특별시 관악구 문성로16다길 133-70 (신림동),766,232,126.91269,37.46743,192276.3238,540893.3248,안전
3885,1162000000,410,서울특별시,관악구,13,"연수,숙박",젤모텔,1162010200114220021013751,1162010200,1162069500,서울특별시 관악구 남부순환로181길 4(신림동),108,14,126.93111,37.48474,193907.0631,542812.5082,안전
3892,1165000000,13,서울특별시,서초구,1,학교,방일초등학교,1165010100101670004015466,1165010100,1165060000,서울특별시 서초구 방배로18길 52(방배동),1962,754,126.99841,37.4854,199858.9649,542883.3595,안전
3889,1162000000,399,서울특별시,관악구,14,"공공시설(국·공립도서관, 공립병원, 시·도민회관, 구민회관 주민체육시설, 노인병원, 어린이도서관 등)",장군봉체육관,1162010200201700132000001,1162010200,1162064500,서울특별시 관악구 남부순환로194길 81-12 (신림동),597,229,126.93511,37.48121,194260.8129,542420.6544,안전
3891,1165000000,12,서울특별시,서초구,1,학교,서래초등학교,1165010100107710000015657,1165010100,1165059000,서울특별시 서초구 방배로 260(방배동),2441,938,126.9893,37.4963,199053.4589,544093.7372,긴급
3893,1165000000,414,서울특별시,서초구,1,학교,동덕여자중고등학교,1165010100200820000000003,1165010100,1165062000,서울특별시 서초구 효령로2길 123-5 (방배동),13162,5062,126.99251,37.47587,199337.5334,541825.8737,긴급
3890,1162000000,420,서울특별시,관악구,13,"연수,숙박",명작모텔,1162010300106020004023869,1162010300,1162063000,서울특별시 관악구 승방2길 25(남현동),1062,54,126.98092,37.47497,198311.9946,541725.9118,안전
